iter	Logloss
0	0.6928923757
1	0.6924562956
2	0.6921439366
3	0.6918446502
4	0.6915672258
5	0.6913774278
6	0.6910260295
7	0.6907500775
8	0.6904367369
9	0.6902244077
10	0.6899001807
11	0.6896052667
12	0.6894305491
13	0.6891621372
14	0.6888511167
15	0.6886705544
16	0.6884037486
17	0.6881865563
18	0.6879340278
19	0.6877855446
20	0.6875986467
21	0.6873291194
22	0.6870922959
23	0.6867690951
24	0.6865092495
25	0.686261718
26	0.6860452395
27	0.6858791775
28	0.6856027793
29	0.6854186476
30	0.6852207742
31	0.6848929333
32	0.6846655238
33	0.6843913564
34	0.6841461896
35	0.6837641844
36	0.6835415489
37	0.6831868043
38	0.6829905371
39	0.6826404326
40	0.6824181094
41	0.6821627701
42	0.6818974367
43	0.6816411158
44	0.6813811364
45	0.6811826829
46	0.6808948628
47	0.6807807789
48	0.6805531463
49	0.6803020009
50	0.6800080238
51	0.679790073
52	0.6796803168
53	0.6794349269
54	0.6791838261
55	0.6789154588
56	0.6787410981
57	0.6784374393
58	0.6783146105
59	0.6780793932
60	0.6778974923
61	0.6775622452
62	0.6773562961
63	0.6772327981
64	0.6770262244
65	0.6768329018
66	0.6766344929
67	0.6764610692
68	0.6762517739
69	0.6761097601
70	0.6758405897
71	0.6755831534
72	0.6753988879
73	0.6751970436
74	0.6749324241
75	0.6746893543
76	0.6745182952
77	0.6742268613
78	0.6739686665
79	0.6737664652
80	0.6735859475
81	0.6733845047
82	0.6731804296
83	0.6729669404
84	0.6727762501
85	0.6725510268
86	0.67237506
87	0.6721493013
88	0.671975476
89	0.6718198542
90	0.6715919093
91	0.6712939168
92	0.6711070635
93	0.6708356177
94	0.6706851714
95	0.6704492402
96	0.6702614946
97	0.6701010988
98	0.6699140225
99	0.6696843376
100	0.6695805154
101	0.669314022
102	0.6690534179
103	0.6689313922
104	0.6686705204
105	0.668516371
106	0.6683326409
107	0.668121204
108	0.6678168314
109	0.6675933481
110	0.6674548144
111	0.6672912062
112	0.6671435707
113	0.666903401
114	0.666681747
115	0.6665067171
116	0.6662626657
117	0.6660895097
118	0.6659348694
119	0.6657717521
120	0.6656882749
121	0.6655044556
122	0.6652595118
123	0.6651850472
124	0.6650260791
125	0.6647611473
126	0.6645364594
127	0.6643281457
128	0.6641453525
129	0.6639442667
130	0.6637454563
131	0.6635539629
132	0.6633800484
133	0.6630596585
134	0.6629069367
135	0.6627934774
136	0.6626822935
137	0.6625222992
138	0.6623847471
139	0.662213688
140	0.6619802553
141	0.6618179411
142	0.6616104304
143	0.6614050614
144	0.6612075895
145	0.6608887611
146	0.6606834367
147	0.6605229517
148	0.660257306
149	0.6601114106
150	0.6598992153
151	0.6597126743
152	0.6594734415
153	0.659344411
154	0.659083227
155	0.6589127479
156	0.6586929678
157	0.6585613942
158	0.6583761918
159	0.6582152606
160	0.6580501356
161	0.6578363341
162	0.6576063368
163	0.6573908845
164	0.6571409437
165	0.6569504766
166	0.6568267555
167	0.6566604703
168	0.6564884743
169	0.6563899168
170	0.6562750744
171	0.6561076293
172	0.6559751187
173	0.6557247764
174	0.6555514865
175	0.6553763228
176	0.6552713405
177	0.6551257574
178	0.6549484521
179	0.6549070035
180	0.6547806054
181	0.6546192727
182	0.6545064826
183	0.6541959975
184	0.6539772881
185	0.6538471869
186	0.6536587275
187	0.6535466512
188	0.6532924273
189	0.6531291761
190	0.6529789975
191	0.6528816
192	0.6526771233
193	0.6525210107
194	0.6523560641
195	0.6521733156
196	0.6520460698
197	0.6518343206
198	0.6516090081
199	0.6514495493
200	0.6512131719
201	0.6510229724
202	0.6509085315
203	0.6507170382
204	0.6506074604
205	0.6503598397
206	0.6501997563
207	0.6501053481
208	0.6500119215
209	0.6498770017
210	0.6496878284
211	0.6494676913
212	0.6493434348
213	0.6492148059
214	0.6490724352
215	0.6488974499
216	0.6487094366
217	0.648557518
218	0.6484379015
219	0.648357369
220	0.6482200399
221	0.6480677644
222	0.6479757209
223	0.64779324
224	0.6475442808
225	0.6472664995
226	0.6470830371
227	0.6468761957
228	0.6467355204
229	0.6466277719
230	0.6464163797
231	0.6462850292
232	0.646149574
233	0.6460391931
234	0.6458532768
235	0.6456952011
236	0.6454635085
237	0.6451911257
238	0.6449859798
239	0.6448891177
240	0.6447226541
241	0.6446047331
242	0.6444306848
243	0.6442606965
244	0.6442126447
245	0.644110384
246	0.6440354732
247	0.6438555801
248	0.6437189203
249	0.6434752704
250	0.6433498093
251	0.6432530364
252	0.6430294639
253	0.6428765637
254	0.6426597729
255	0.6424757751
256	0.6423218933
257	0.6422291806
258	0.6420493321
259	0.6419232463
260	0.6417512949
261	0.6416584483
262	0.6415050574
263	0.6414130138
264	0.6412997776
265	0.6410910623
266	0.6409438284
267	0.6407847711
268	0.6405624033
269	0.6404416714
270	0.6402995684
271	0.6401528699
272	0.6400565878
273	0.6399225603
274	0.6398356477
275	0.6397484673
276	0.6396549515
277	0.6395269026
278	0.6394196449
279	0.6392736156
280	0.6391356173
281	0.639060751
282	0.6389195403
283	0.6387985854
284	0.638686643
285	0.6384832371
286	0.6383449711
287	0.6382963839
288	0.6381764551
289	0.6380393937
290	0.6379318683
291	0.6377953423
292	0.6376978556
293	0.6375640512
294	0.6374215466
295	0.6373135751
296	0.6372909992
297	0.6371907017
298	0.6370588158
299	0.6369183189
300	0.6368054842
301	0.6367015281
302	0.6366591872
303	0.636482908
304	0.6363973339
305	0.63628847
306	0.6361040707
307	0.6359318962
308	0.6357256348
309	0.6356189125
310	0.6354518243
311	0.6353840967
312	0.6353251139
313	0.6352405213
314	0.635098686
315	0.6349015264
316	0.6347425137
317	0.6346269128
318	0.6345220198
319	0.6344086943
320	0.6343051397
321	0.6342275519
322	0.6340957106
323	0.6339842144
324	0.6339424535
325	0.6338416206
326	0.6337796485
327	0.6337354337
328	0.6336485656
329	0.6334696095
330	0.6333838569
